image_path,hueColorPrincipal,saturationColorPrincipal,brightnessColorPrincipal,num_colors,avg_hue_diff,avg_saturation,avg_pure_saturation,avg_lightness,avg_pure_lightness,Jerarquia
paso1_procesamientoImagenes/imagesVibrant\Vibrante_001.jpg,,,,6,59.93014706,27.78571429,,30.2745098,,Diagonal
paso1_procesamientoImagenes/imagesVibrant\Vibrante_002.jpg,,,,6,24.51532468,8.331464174,,35.33333333,,Diagonal
paso1_procesamientoImagenes/imagesVibrant\Vibrante_003.jpg,,,,6,46.4572681,50.61538102,,16.54901961,,Diagonal
paso1_procesamientoImagenes/imagesVibrant\Vibrante_004.jpg,,,,6,110.348814,22.94529044,,12.19607843,,Diagonal
paso1_procesamientoImagenes/imagesVibrant\Vibrante_005.jpg,,,,6,139.0510823,24.20619174,,26.82352941,,Diagonal
paso1_procesamientoImagenes/imagesVibrant\Vibrante_006.jpg,,,,3,161.7698365,36.97933645,,,25.22875817,Diagonal
paso1_procesamientoImagenes/imagesVibrant\Vibrante_007.jpg,,,,6,191.1838178,24.34570475,,19.76470588,,Diagonal
paso1_procesamientoImagenes/imagesVibrant\Vibrante_008.jpg,,,,6,110.5754527,22.81008654,,26.74509804,,Diagonal
paso1_procesamientoImagenes/imagesVibrant\Vibrante_009.jpg,,,,4,8.628762542,53.67705319,,,18.43137255,Diagonal
paso1_procesamientoImagenes/imagesVibrant\Vibrante_010.jpg,,,,3,18.53617593,28.23477101,,16.37254902,,Diagonal
paso1_procesamientoImagenes/imagesVibrant\Vibrante_011.jpg,,,,6,47.01642859,19.11965059,,33.09803922,,Diagonal
paso1_procesamientoImagenes/imagesVibrant\Vibrante_012.jpg,,,,6,25.73648636,19.17891608,,17.92156863,,Diagonal
paso1_procesamientoImagenes/imagesVibrant\Vibrante_013.jpg,,,,5,94.80628215,30.87185738,,19.50980392,,Diagonal
paso1_procesamientoImagenes/imagesVibrant\Vibrante_014.jpg,,,,6,186.0166667,40.08396722,,23.80392157,,Diagonal
paso1_procesamientoImagenes/imagesVibrant\Vibrante_015.jpg,,,,5,23.85606061,23.35469394,,12.00980392,,Diagonal
