cantidad_diagonal,cantidad_probabilidad_diagonal,hue_min_diagonal,hue_max_diagonal,hue_probabilidad_diagonal,saturation_min_diagonal,saturation_max_diagonal,saturation_probabilidad_diagonal,brightness_min_diagonal,brightness_max_diagonal,brightness_probabilidad_diagonal,cantidad_espiral,cantidad_probabilidad_espiral,hue_min_espiral,hue_max_espiral,hue_probabilidad_espiral,saturation_min_espiral,saturation_max_espiral,saturation_probabilidad_espiral,brightness_min_espiral,brightness_max_espiral,brightness_probabilidad_espiral,cantidad_simetria,cantidad_probabilidad_simetria,hue_min_simetria,hue_max_simetria,hue_probabilidad_simetria,saturation_min_simetria,saturation_max_simetria,saturation_probabilidad_simetria,brightness_min_simetria,brightness_max_simetria,brightness_probabilidad_simetria,cantidad_tercios,cantidad_probabilidad_tercios,hue_min_tercios,hue_max_tercios,hue_probabilidad_tercios,saturation_min_tercios,saturation_max_tercios,saturation_probabilidad_tercios,brightness_min_tercios,brightness_max_tercios,brightness_probabilidad_tercios
2,0,0,10,0.06,0,10,0.04,0,10,0.04,2,0,0,10,0,0,10,0.08,0,10,0.020833333,2,0,0,10,0,0,10,0.020408163,0,10,0.042553191,2,0.04,0,10,0.02,0,10,0.021276596,0,10,0.043478261
3,0.04,10,20,0.08,10,20,0.12,10,20,0.12,3,0.04,10,20,0,10,20,0.1,10,20,0.458333333,3,0.04,10,20,0.04,10,20,0.244897959,10,20,0.382978723,3,0.06,10,20,0.12,10,20,0.127659574,10,20,0.152173913
4,0.14,20,30,0.16,20,30,0.14,20,30,0.14,4,0.04,20,30,0.12,20,30,0.24,20,30,0.333333333,4,0.04,20,30,0.02,20,30,0.285714286,20,30,0.255319149,4,0.12,20,30,0.12,20,30,0.234042553,20,30,0.347826087
5,0.24,30,40,0.14,30,40,0.08,30,40,0.08,5,0.12,30,40,0.08,30,40,0.26,30,40,0.145833333,5,0.14,30,40,0.06,30,40,0.244897959,30,40,0.170212766,5,0.16,30,40,0.02,30,40,0.255319149,30,40,0.326086957
6,0.58,40,50,0.14,40,50,0.08,40,50,0.08,6,0.8,40,50,0.04,40,50,0.06,40,50,0.020833333,6,0.78,40,50,0.02,40,50,0.12244898,40,50,0.127659574,6,0.62,40,50,0.04,40,50,0.212765957,40,50,0.130434783
,,50,60,0,50,60,0.12,50,60,0.12,,,50,60,0.06,50,60,0.16,50,60,0.020833333,,,50,60,0.16,50,60,0.06122449,50,60,0.021276596,,,50,60,0.04,50,60,0.042553191,50,60,0
,,60,70,0.02,60,70,0.06,60,70,0.06,,,60,70,0.06,60,70,0.04,60,70,0,,,60,70,0.08,60,70,0,60,70,0,,,60,70,0.02,60,70,0.106382979,60,70,0
,,70,80,0.04,70,80,0.06,70,80,0.06,,,70,80,0.06,70,80,0.06,70,80,0,,,70,80,0.04,70,80,0.020408163,70,80,0,,,70,80,0.04,70,80,0,70,80,0
,,80,90,0.02,80,90,0.04,80,90,0.04,,,80,90,0.06,80,90,0,80,90,0,,,80,90,0.12,80,90,0,80,90,0,,,80,90,0.06,80,90,0,80,90,0
,,90,100,0,90,100,0.26,90,100,0.26,,,90,100,0,90,100,0,90,100,0,,,90,100,0.1,90,100,0,90,100,0,,,90,100,0.02,90,100,0,90,100,0
,,100,110,0.02,,,,,,,,,100,110,0.14,,,,,,,,,100,110,0.02,,,,,,,,,100,110,0.06,,,,,,
,,110,120,0,,,,,,,,,110,120,0.04,,,,,,,,,110,120,0.02,,,,,,,,,110,120,0.02,,,,,,
,,120,130,0.02,,,,,,,,,120,130,0.04,,,,,,,,,120,130,0.04,,,,,,,,,120,130,0.06,,,,,,
,,130,140,0,,,,,,,,,130,140,0.08,,,,,,,,,130,140,0.04,,,,,,,,,130,140,0.04,,,,,,
,,140,150,0.02,,,,,,,,,140,150,0.02,,,,,,,,,140,150,0.06,,,,,,,,,140,150,0.04,,,,,,
,,150,160,0,,,,,,,,,150,160,0.02,,,,,,,,,150,160,0.04,,,,,,,,,150,160,0.08,,,,,,
,,160,170,0.02,,,,,,,,,160,170,0.04,,,,,,,,,160,170,0,,,,,,,,,160,170,0,,,,,,
,,170,180,0,,,,,,,,,170,180,0.04,,,,,,,,,170,180,0.02,,,,,,,,,170,180,0.02,,,,,,
,,180,190,0.02,,,,,,,,,180,190,0.04,,,,,,,,,180,190,0.02,,,,,,,,,180,190,0.04,,,,,,
,,190,200,0.04,,,,,,,,,190,200,0.02,,,,,,,,,190,200,0.02,,,,,,,,,190,200,0.04,,,,,,
,,200,210,0.04,,,,,,,,,200,210,0,,,,,,,,,200,210,0.04,,,,,,,,,200,210,0,,,,,,
,,210,220,0.04,,,,,,,,,210,220,0,,,,,,,,,210,220,0,,,,,,,,,210,220,0.02,,,,,,
,,220,230,0.02,,,,,,,,,220,230,0,,,,,,,,,220,230,0.02,,,,,,,,,220,230,0.02,,,,,,
,,230,240,0,,,,,,,,,230,240,0.02,,,,,,,,,230,240,0,,,,,,,,,230,240,0.02,,,,,,
,,240,250,0.04,,,,,,,,,240,250,0,,,,,,,,,240,250,0.02,,,,,,,,,240,250,0.02,,,,,,
,,250,260,0.02,,,,,,,,,250,260,0.02,,,,,,,,,250,260,0,,,,,,,,,250,260,0,,,,,,
,,260,270,0,,,,,,,,,260,270,0,,,,,,,,,260,270,0,,,,,,,,,260,270,0,,,,,,
,,270,280,0,,,,,,,,,270,280,0,,,,,,,,,270,280,0,,,,,,,,,270,280,0.02,,,,,,
,,280,290,0,,,,,,,,,280,290,0,,,,,,,,,280,290,0,,,,,,,,,280,290,0,,,,,,
,,290,300,0,,,,,,,,,290,300,0,,,,,,,,,290,300,0,,,,,,,,,290,300,0,,,,,,
,,300,310,0,,,,,,,,,300,310,0,,,,,,,,,300,310,0,,,,,,,,,300,310,0,,,,,,
,,310,320,0,,,,,,,,,310,320,0,,,,,,,,,310,320,0,,,,,,,,,310,320,0,,,,,,
,,320,330,0,,,,,,,,,320,330,0,,,,,,,,,320,330,0,,,,,,,,,320,330,0,,,,,,
,,330,340,0,,,,,,,,,330,340,0,,,,,,,,,330,340,0,,,,,,,,,330,340,0,,,,,,
,,340,350,0,,,,,,,,,340,350,0,,,,,,,,,340,350,0,,,,,,,,,340,350,0,,,,,,
,,350,360,0.04,,,,,,,,,350,360,0,,,,,,,,,350,360,0,,,,,,,,,350,360,0,,,,,,
