hue_min,hue_max,hue_probabilidad,saturation_min,saturation_max,saturation_probabilidad,brightness_min,brightness_max,brightness_probabilidad
0,10,0.22,0,10,0.26,0,10,0.06
10,20,0.06,10,20,0.14,10,20,0.04
20,30,0.06,20,30,0.06,20,30,0.06
30,40,0.14,30,40,0.08,30,40,0.16
40,50,0.02,40,50,0.18,40,50,0.04
50,60,0,50,60,0.04,50,60,0.08
60,70,0.08,60,70,0.04,60,70,0.08
70,80,0.04,70,80,0.06,70,80,0.14
80,90,0,80,90,0.04,80,90,0.22
90,100,0,90,100,0.1,90,100,0.1
100,110,0,,,,,,
110,120,0,,,,,,
120,130,0,,,,,,
130,140,0,,,,,,
140,150,0.02,,,,,,
150,160,0,,,,,,
160,170,0.02,,,,,,
170,180,0.02,,,,,,
180,190,0.08,,,,,,
190,200,0.04,,,,,,
200,210,0.08,,,,,,
210,220,0.02,,,,,,
220,230,0.02,,,,,,
230,240,0,,,,,,
240,250,0,,,,,,
250,260,0,,,,,,
260,270,0,,,,,,
270,280,0,,,,,,
280,290,0,,,,,,
290,300,0,,,,,,
300,310,0,,,,,,
310,320,0,,,,,,
320,330,0,,,,,,
330,340,0.02,,,,,,
340,350,0.02,,,,,,
350,360,0.04,,,,,,
