hue_min,hue_max,hue_probabilidad,saturation_min,saturation_max,saturation_probabilidad,brightness_min,brightness_max,brightness_probabilidad
0,10,0.06,0,10,0.04,0,10,0.12
10,20,0.08,10,20,0.12,10,20,0.14
20,30,0.16,20,30,0.14,20,30,0.04
30,40,0.14,30,40,0.08,30,40,0.16
40,50,0.14,40,50,0.08,40,50,0.24
50,60,0,50,60,0.12,50,60,0.08
60,70,0.02,60,70,0.06,60,70,0.1
70,80,0.04,70,80,0.06,70,80,0.04
80,90,0.02,80,90,0.04,80,90,0.08
90,100,0,90,100,0.26,90,100,0
100,110,0.02,,,,,,
110,120,0,,,,,,
120,130,0.02,,,,,,
130,140,0,,,,,,
140,150,0.02,,,,,,
150,160,0,,,,,,
160,170,0.02,,,,,,
170,180,0,,,,,,
180,190,0.02,,,,,,
190,200,0.04,,,,,,
200,210,0.04,,,,,,
210,220,0.04,,,,,,
220,230,0.02,,,,,,
230,240,0,,,,,,
240,250,0.04,,,,,,
250,260,0.02,,,,,,
260,270,0,,,,,,
270,280,0,,,,,,
280,290,0,,,,,,
290,300,0,,,,,,
300,310,0,,,,,,
310,320,0,,,,,,
320,330,0,,,,,,
330,340,0,,,,,,
340,350,0,,,,,,
350,360,0.04,,,,,,
